stock_id,date,news_count,Close,next_day_return
2609,2026-08-05,1,50.599998474121094,-0.003952508977731917
2609,2026-08-13,2,51.400001525878906,0.00389099109542812
2609,2026-08-19,1,59.0,0.02203388537390749
2609,2026-08-20,1,60.29999923706055,0.06135988075876164
2609,2026-08-26,1,57.599998474121094,0.005208386453214864
2615,2026-08-21,1,124.5,0.0
2615,2026-08-26,1,115.0,-0.013043478260869601
2801,2026-08-05,1,23.649999618530273,-0.021141649389636363
2801,2026-08-25,1,23.75,0.006315773411800896
2881,2026-08-03,1,129.5,-0.007722007722007707
2881,2026-08-18,1,129.5,-0.007722007722007707
2881,2026-08-24,2,132.0,0.07196969696969702
2881,2026-08-25,1,141.5,-0.021201413427561877
2881,2026-08-27,1,141.5,0.0176678445229681
2882,2026-08-05,1,100.5,-0.02985074626865669
2882,2026-08-17,1,98.0999984741211,0.011213032530385636
2882,2026-08-20,10,97.69999694824219,0.028659192827213076
2882,2026-08-21,2,100.5,-0.01592038282707553
2882,2026-08-25,2,103.0,-0.004854368932038833
2884,2026-08-19,1,37.79999923706055,-0.011904782328626462
2886,2026-08-07,1,49.070945739746094,0.0019646050803294735
2886,2026-08-27,2,46.150001525878906,0.04442035036360714
2889,2026-08-19,1,15.550000190734863,0.006430831290599848
2889,2026-08-24,1,15.649999618530273,-0.0031948395066633273
2889,2026-08-25,1,15.600000381469727,0.009615359927070743
2890,2026-08-25,1,39.29999923706055,-0.003816735727572018
2890,2026-08-27,2,39.349998474121094,0.011435852106459476
2891,2026-08-18,1,66.5,-0.02406012743039243
2891,2026-08-26,1,64.5999984741211,-0.012383889411096916
3006,2026-08-25,1,270.0,0.012962962962963065
3008,2026-08-04,4,4315.58154296875,0.05051666545791389
3008,2026-08-05,1,4533.59033203125,0.010928945858028394
3008,2026-08-13,2,4660.0,-0.010729613733905574
3008,2026-08-17,1,5070.0,0.04339250493096647
3008,2026-08-18,1,5290.0,0.04914933837429114
3008,2026-08-19,1,5550.0,-0.006306306306306353
3008,2026-08-21,1,5610.0,-0.0401069518716578
3008,2026-08-25,2,5720.0,0.09965034965034958
3008,2026-08-26,7,6290.0,0.09936406995230529
3008,2026-08-27,4,6915.0,0.021691973969631295
3026,2026-08-25,1,628.0,-0.022292993630573243
3037,2026-08-05,2,969.0,0.0041279669762641635
3037,2026-08-10,1,992.0,0.0
3037,2026-08-17,2,1120.0,0.022321428571428603
3037,2026-08-18,1,1145.0,-0.013100436681222738
3037,2026-08-20,1,1140.0,-0.04824561403508776
3231,2026-08-04,3,195.0,-0.01025641025641022
3231,2026-08-05,1,193.0,-0.01813471502590669
3231,2026-08-10,1,193.0,-0.010362694300518172
3231,2026-08-17,1,187.0,-0.03208556149732622
3231,2026-08-25,1,178.5,0.019607843137254832
3481,2026-08-18,2,49.5,-0.05555555555555558
3481,2026-08-19,1,46.75,-0.016042780748663055
3481,2026-08-24,1,45.45000076293945,0.029702936225732612
3481,2026-08-25,1,46.79999923706055,-0.008546959779967
3532,2026-08-24,2,376.5,0.003984063745019917
